game_id,parent_id,year,iteration,reimplementation,expansion,compilation
161936,30549,2015,2,1,0,0
182028,25613,2015,2,1,1,0
12333,117145,2005,1,0,1,0
120677,149890,2012,1,0,1,1
174430,365186,2017,1,0,1,0
187645,226840,2016,1,0,1,0
169786,276229,2016,1,0,1,0
167791,296298,2016,1,0,1,0
173346,68448,2015,2,1,1,0
102794,31260,2013,2,1,1,0
84876,178656,2011,1,0,1,1
3076,286086,2002,1,0,1,1
115746,9609,2011,2,1,1,0
31260,59158,2007,1,0,1,0
96848,277519,2011,1,0,1,1
170216,23985,2015,2,1,1,0
25613,98989,2006,1,0,1,0
164153,17226,2014,3,1,1,0
193738,256951,2016,1,0,1,0
205059,83330,2016,2,1,1,0
2651,12166,2004,2,1,1,0
72125,217786,2011,1,0,1,0
205637,379286,2016,1,0,1,0
121921,204573,2012,1,0,1,1
175914,261526,2015,1,0,1,0
124742,1301,2012,2,1,1,0
28720,201381,2007,1,0,1,0
164928,178656,2014,1,0,1,1
35677,40387,2008,1,0,1,0
126163,134380,2012,1,0,1,0
178900,256951,2015,1,0,1,1
146508,287916,2015,1,0,1,0
183394,128621,2015,2,1,1,1
124361,209574,2013,1,0,1,0
122515,256951,2012,1,0,1,0
68448,247315,2010,1,0,1,0
171623,232945,2015,1,0,1,0
18602,34410,2005,1,0,1,0
146021,15987,2013,2,1,1,0
150376,181307,2014,1,0,1,1
12493,26055,2005,2,1,1,0
177736,232298,2016,1,0,1,0
163412,370657,2014,1,0,1,0
110327,122996,2012,1,0,1,0
28143,145148,2007,1,0,1,0
157354,167309,2014,1,0,1,0
132531,28143,2014,2,1,1,0
93,583,1995,1,0,1,1
